username,completed_required_courses,custom_completed_courses,general_elective_credits,cs_elective_credits,english_elective_credits,science_elective_credits,humanities_elective_credits,social_science_elective_credits,ethics_elective_credits,planned_courses
demo,COMP1000;COMP1050;COMP1200;COMP2000;COMP2100;COMP2350;COMP2650;COMP3400;COMP3450;COMP4960;MATH1776;MATH1777;MATH1876;MATH1877;MATH2100;MATH2300;MATH2860;COMP5500,MATH2800|2800|Custom Completed Course;COMM4335|4335|Imported from transcript;COMP3125|3125|Imported from transcript;COMP4700|4700|Imported from transcript;COOP3500|3500|Imported from transcript;CSAS1000|1000|Imported from transcript;ECON4102|4102|Imported from transcript;ENGL1100|1100|Imported from transcript;ENGL2200|2200|Imported from transcript;MATH2500|2500|Imported from transcript;MATH4050|4050|Imported from transcript;MGMT1500|1500|Imported from transcript;PHIL4525|4525|Imported from transcript,8,12,8,4,4,4,4,
folajimii,,,0,0,0,0,0,0,0,
