TERM_CODE,TERM,PART_OF_TERM,START_DATE,END_DATE,LEVEL_CODE,CRN,SUBJECT,COURSE,SECTION,COURSE_TITLE,SCHEDULE_TYPE,CAMPUS,DEPARTMENT,INSTRUCTOR,MAX_ENROLLMENT,TOTAL_ENROLLMENT,REMAINING_SEATS,CREDIT_HOUR,SCHED_BUILDING_DESC,SCHED_ROOM_CODE,SCHED_ROOM_DESC,COURSE_DAYS,BEGIN_TIME,END_TIME
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31775,COMP,3450,03B,PARALLEL COMPUTING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Schuster, Micah",24,23,1,4,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,MW,09:30am,10:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31776,COMP,3450,04B,PARALLEL COMPUTING,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Schuster, Micah",24,23,1,0,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,R,10:00am,11:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31777,COMP,3450,05C,PARALLEL COMPUTING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Husowitz, Barry",24,24,0,4,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,TF,11:00am,12:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31778,COMP,3450,06C,PARALLEL COMPUTING,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Husowitz, Barry",24,24,0,0,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,R,01:00pm,02:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31779,COMP,3450,07D,PARALLEL COMPUTING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Husowitz, Barry",24,11,13,4,Annex Central,210,CLASSROOM,TF,02:00pm,03:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31780,COMP,3450,08D,PARALLEL COMPUTING,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Husowitz, Barry",24,11,13,0,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,W,03:00pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31781,COMP,3500,01A,NETWORK SECURITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Robinson, Clifton",24,21,3,4,Wentworth Hall,214,CLASSROOM,TF,08:00am,09:15am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31782,COMP,3500,02A,NETWORK SECURITY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Robinson, Clifton",24,21,3,0,CEIS,423,LAB: CYBERSECURITY & FORENSICS,R,08:00am,09:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31786,COMP,3510,01A,INTERNET OF THINGS SECURITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Robinson, Clifton",24,24,0,4,Wentworth Hall,214,CLASSROOM,TF,11:00am,12:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31787,COMP,3510,02A,INTERNET OF THINGS SECURITY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Robinson, Clifton",24,24,0,0,Wentworth Hall,010,LAB: GRAPHICS,R,10:00am,11:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31788,COMP,3550,01A,COMPUTER SECURITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",24,24,0,4,CEIS,423,LAB: CYBERSECURITY & FORENSICS,TR,02:00pm,03:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31789,COMP,3550,02A,COMPUTER SECURITY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",24,24,0,0,CEIS,423,LAB: CYBERSECURITY & FORENSICS,F,01:00pm,02:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31790,COMP,3550,03B,COMPUTER SECURITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",24,24,0,4,CEIS,423,LAB: CYBERSECURITY & FORENSICS,TR,03:30pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31791,COMP,3550,04B,COMPUTER SECURITY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Farooq, Abdullah",24,24,0,0,CEIS,423,LAB: CYBERSECURITY & FORENSICS,F,03:00pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31792,COMP,3575,01A,SCRIPT'G FOR CYSEC & FORENSICS,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",24,22,2,4,CEIS,423,LAB: CYBERSECURITY & FORENSICS,MW,02:00pm,03:15pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31793,COMP,3575,02A,SCRIPT'G FOR CYSEC & FORENSICS,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",24,22,2,0,Watson Hall,002,CLASSROOM,T,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31794,COMP,3590,01A,APPLIED CRYPTOGRAPHY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Liu, Bingyu",24,28,-4,4,Beatty Hall,421,CLASSROOM: ACTIVE & DISTANCE LEARNING ROOM,MW,09:30am,10:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31795,COMP,3590,02A,APPLIED CRYPTOGRAPHY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Liu, Bingyu",24,28,-4,0,Beatty Hall,421,CLASSROOM: ACTIVE & DISTANCE LEARNING ROOM,T,10:00am,11:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31796,COMP,3590,03B,APPLIED CRYPTOGRAPHY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Liu, Bingyu",24,24,0,4,Annex Central,209,CLASSROOM,MW,12:30pm,01:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31797,COMP,3590,04B,APPLIED CRYPTOGRAPHY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Liu, Bingyu",24,24,0,0,Annex Central,209,CLASSROOM,R,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31798,COMP,3650,01A,MALWARE ANALYSIS BASICS,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Irfan, Muhammad",24,17,7,4,Wentworth Hall,004,LAB: NETWORKING,MW,08:00am,09:15am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31799,COMP,3650,02A,MALWARE ANALYSIS BASICS,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Irfan, Muhammad",24,17,7,0,Wentworth Hall,004,LAB: NETWORKING,F,08:00am,09:45am
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31990,COMP,3800,01,SOFTWARE TESTING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Park, Sunjae",24,6,18,4,Watson Hall,001,CLASSROOM,MTWR,03:00pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31991,COMP,3800,02,AI IN SOFTWARE ENGINEERING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Olmsted, Aspen",24,23,1,4,Wentworth Hall,312,CLASSROOM,TF,10:00am,11:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,32064,COMP,3800,03,COMPUTING SEMINAR,Online Async Lecture (ONL),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",5,4,1,1,Online Section,,,,,
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31803,COMP,4450,01A,SYSTEMS PROGRAMMING,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Park, Sunjae",24,7,17,4,Wentworth Hall,004,LAB: NETWORKING,TR,05:30pm,08:00pm
202630,Summer 2026,Summer 7 Weeks Session I,5/5/2026,6/16/2026,UG,31804,COMP,4450,02A,SYSTEMS PROGRAMMING,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Park, Sunjae",24,7,17,0,Wentworth Hall,004,LAB: NETWORKING,MW,06:00pm,07:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31805,COMP,4550,01A,INCIDENT RESP & BUS CONTINUITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",24,19,5,4,Wentworth Hall,010,LAB: GRAPHICS,MW,03:30pm,04:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31806,COMP,4550,02A,INCIDENT RESP & BUS CONTINUITY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",24,19,5,0,Watson Hall,002,CLASSROOM,R,01:00pm,02:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31807,COMP,4550,03B,INCIDENT RESP & BUS CONTINUITY,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",24,16,8,4,Beatty Hall,420,CLASSROOM: ACTIVE & DISTANCE LEARNING ROOM,MW,12:30pm,01:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31808,COMP,4550,04B,INCIDENT RESP & BUS CONTINUITY,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Neyaz, Ashar",24,16,8,0,Annex Central,209,CLASSROOM,F,01:00pm,02:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31809,COMP,4650,01,WEB DEVELOPMENT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Irfan, Muhammad",24,26,-2,4,Wentworth Hall,306,CLASSROOM,MW,09:30am,10:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31810,COMP,4650,02,WEB DEVELOPMENT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Irfan, Muhammad",24,26,-2,0,Annex Central,201,CLASSROOM,T,08:00am,09:45am
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31548,COMP,4700,01A,ARTIFICIAL INTELLIGENCE,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Kreimendahl, Frank",24,24,0,4,Wentworth Hall,305,CLASSROOM,MW,12:30pm,01:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31549,COMP,4700,02A,ARTIFICIAL INTELLIGENCE,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Kreimendahl, Frank",24,24,0,0,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,F,01:00pm,02:45pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31811,COMP,5500,01A,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Folajimi, Yetunde",17,17,0,4,Wentworth Hall,210,CLASSROOM,M,05:15pm,06:05pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31812,COMP,5500,02A,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Folajimi, Yetunde",17,17,0,0,Annex Central,201,CLASSROOM,TWR,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31963,COMP,5500,05C,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Folajimi, Yetunde",17,12,5,4,Beatty Hall,419,CLASSROOM: DISTANCE LEARNING,M,05:15pm,06:05pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31964,COMP,5500,06C,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Folajimi, Yetunde",17,12,5,0,Beatty Hall,401,CLASSROOM: DISTANCE LEARNING,TWR,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31965,COMP,5500,07D,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Pang, Weijie",15,17,-2,4,Beatty Hall,401,CLASSROOM: DISTANCE LEARNING,M,02:00pm,02:50pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31966,COMP,5500,08D,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Pang, Weijie",15,17,-2,0,Beatty Hall,401,CLASSROOM: DISTANCE LEARNING,TR,02:00pm,04:35pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31968,COMP,5500,09E,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Robinson, Clifton",15,17,-2,4,Beatty Hall,401,CLASSROOM: DISTANCE LEARNING,M,05:15pm,06:05pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31969,COMP,5500,10E,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Robinson, Clifton",15,17,-2,0,CEIS,422,LAB: HIGH PERFORMANCE COMPUTING,TWR,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31970,COMP,5500,11F,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Othman, Salem",17,17,0,4,Willson Hall,102,CLASSROOM: ACTIVE LEARNING,M,05:15pm,06:05pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31971,COMP,5500,12F,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Othman, Salem",17,17,0,0,Beatty Hall,419,CLASSROOM: DISTANCE LEARNING,TWR,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31972,COMP,5500,13G,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Othman, Salem",17,17,0,4,Wentworth Hall,205,CLASSROOM,M,05:15pm,06:05pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31973,COMP,5500,14G,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Othman, Salem",17,17,0,0,Beatty Hall,419,CLASSROOM: DISTANCE LEARNING,TWR,05:15pm,07:00pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31974,COMP,5500,15H,SENIOR PROJECT,Lecture (LEC),Wentworth Institute Technology,Computer Science & Networking,"Irfan, Muhammad",17,17,0,4,Willson Hall,105,CLASSROOM,M,05:15pm,06:05pm
202630,Summer 2026,Full Term,5/5/2026,8/11/2026,UG,31975,COMP,5500,16H,SENIOR PROJECT,Laboratory (LAB),Wentworth Institute Technology,Computer Science & Networking,"Irfan, Muhammad",17,17,0,0,CEIS,423,LAB: CYBERSECURITY & FORENSICS,TWR,05:15pm,07:00pm
